order_id,billing1_location,billing1_location_type,billing1_viewport,billing2_location,billing2_location_type,billing2_viewport,shipping1_location,shipping1_location_type,shipping1_viewport,shipping2_location,shipping2_location_type,shipping2_viewport
142564,_,_,_,_,_,_,_,_,_,_,_,_
142565,"{'lat': 23.8189276, 'lng': 90.4379135}",ROOFTOP,"{'northeast': {'lat': 23.8202883802915, 'lng': 90.43926138029151}, 'southwest': {'lat': 23.8175904197085, 'lng': 90.43656341970849}}",_,_,_,"{'lat': 23.8189276, 'lng': 90.4379135}",ROOFTOP,"{'northeast': {'lat': 23.8202883802915, 'lng': 90.43926138029151}, 'southwest': {'lat': 23.8175904197085, 'lng': 90.43656341970849}}",_,_,_
142569,"{'lat': 23.8263977, 'lng': 90.439783}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8281018, 'lng': 90.4433092}, 'southwest': {'lat': 23.8217883, 'lng': 90.4372669}}",_,_,_,"{'lat': 23.8263977, 'lng': 90.439783}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8281018, 'lng': 90.4433092}, 'southwest': {'lat': 23.8217883, 'lng': 90.4372669}}",_,_,_
142572,_,_,_,_,_,_,_,_,_,_,_,_
142575,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142577,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_
142579,_,_,_,_,_,_,_,_,_,_,_,_
142580,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142581,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}","{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}","{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}","{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}"
142582,"{'lat': 23.8172205, 'lng': 90.4291959}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8187005802915, 'lng': 90.4305118802915}, 'southwest': {'lat': 23.8160026197085, 'lng': 90.4278139197085}}",_,_,_,"{'lat': 23.8172205, 'lng': 90.4291959}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8187005802915, 'lng': 90.4305118802915}, 'southwest': {'lat': 23.8160026197085, 'lng': 90.4278139197085}}",_,_,_
142585,"{'lat': 23.824435, 'lng': 90.4334778}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8251488, 'lng': 90.43638279999999}, 'southwest': {'lat': 23.819198, 'lng': 90.4313729}}",_,_,_,"{'lat': 23.824435, 'lng': 90.4334778}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8251488, 'lng': 90.43638279999999}, 'southwest': {'lat': 23.819198, 'lng': 90.4313729}}",_,_,_
142586,_,_,_,_,_,_,_,_,_,_,_,_
142588,"{'lat': 23.8172205, 'lng': 90.4291959}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8187005802915, 'lng': 90.4305118802915}, 'southwest': {'lat': 23.8160026197085, 'lng': 90.4278139197085}}",_,_,_,"{'lat': 23.8172205, 'lng': 90.4291959}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8187005802915, 'lng': 90.4305118802915}, 'southwest': {'lat': 23.8160026197085, 'lng': 90.4278139197085}}",_,_,_
142589,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142591,"{'lat': 23.8109626, 'lng': 90.4284247}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8141882, 'lng': 90.43034159999999}, 'southwest': {'lat': 23.8102905, 'lng': 90.4259218}}",_,_,_,"{'lat': 23.8109626, 'lng': 90.4284247}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8141882, 'lng': 90.43034159999999}, 'southwest': {'lat': 23.8102905, 'lng': 90.4259218}}",_,_,_
142592,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_
142594,_,_,_,_,_,_,_,_,_,_,_,_
142596,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_
